,alpha,beta,ndcg_mean
0,0.7,0.0,0.854047595583
1,0.8,0.0,0.863827557012
2,0.7,0.1,0.811701023542
3,0.7,0.0,0.854047595583
4,0.797799614281,-0.423465720414,0.729056169518
5,0.797799614281,-0.423465720414,0.729056169518
6,0.897799614281,-0.423465720414,0.727206687976
7,0.797799614281,-0.323465720414,0.77845206372
8,0.71950293674,-0.0844463980507,0.86731577627
9,0.71950293674,-0.0844463980507,0.86731577627
10,0.81950293674,-0.0844463980507,0.879693643811
11,0.71950293674,0.0155536019493,0.853416133953
12,0.869047387973,-0.14409765172,0.884982990414
13,0.869047387973,-0.14409765172,0.884982990414
14,0.969047387973,-0.14409765172,0.873564332849
15,0.869047387973,-0.0440976517202,0.87602670886
16,0.816410022229,-0.160127826901,0.883839745079
17,0.816410022229,-0.160127826901,0.883839745079
18,0.916410022229,-0.160127826901,0.876381478561
19,0.816410022229,-0.0601278269013,0.87945904457
20,0.858539357204,-0.147297765777,0.88472625487
21,0.858539357204,-0.147297765777,0.88472625487
22,0.958539357204,-0.147297765777,0.873194806238
23,0.858539357204,-0.047297765777,0.876553901287
24,0.867239564113,-0.144648206118,0.885343269462
25,0.867239564113,-0.144648206118,0.885343269462
26,0.967239564113,-0.144648206118,0.87369638227
27,0.867239564113,-0.0446482061175,0.876723855531
28,0.866124414836,-0.144987813505,0.884702946482
29,0.866124414836,-0.144987813505,0.884702946482
30,0.966124414836,-0.144987813505,0.873429931226
31,0.866124414836,-0.044987813505,0.877249190117
32,0.867201115961,-0.144659915112,0.885343269462
33,0.867201115961,-0.144659915112,0.885343269462
34,0.967201115961,-0.144659915112,0.873696269642
35,0.867201115961,-0.0446599151116,0.877013755223
36,0.866490493218,-0.144876328051,0.884763942046
37,0.866490493218,-0.144876328051,0.884763942046
38,0.966490493218,-0.144876328051,0.873432090728
39,0.866490493218,-0.0448763280513,0.877500593743
40,0.867183066693,-0.144665411833,0.885343269462
41,0.867183066693,-0.144665411833,0.885343269462
42,0.967183066693,-0.144665411833,0.873696269642
43,0.867183066693,-0.0446654118331,0.877059714661
44,0.8667259682,-0.144804616537,0.885065679047
45,0.8667259682,-0.144804616537,0.885065679047
46,0.9667259682,-0.144804616537,0.873500175684
47,0.8667259682,-0.0448046165371,0.87745209303
48,0.867168149122,-0.144669954828,0.885343269462
49,0.867168149122,-0.144669954828,0.885343269462
50,0.967168149122,-0.144669954828,0.873696269642
51,0.867168149122,-0.0446699548277,0.877067234395
52,0.866876309713,-0.144758831556,0.885170216232
53,0.866876309713,-0.144758831556,0.885170216232
54,0.966876309713,-0.144758831556,0.873500175684
